ENSG00000184895	Y	2714896	2715740	Sex-determining region Y protein (Testis-determining factor). [Source:Uniprot/SWISSPROT;Acc:Q05066]
ENSG00000129824	Y	2769527	2794997	40S ribosomal protein S4, Y isoform 1. [Source:Uniprot/SWISSPROT;Acc:P22090]
ENSG00000067646	Y	2863322	2910547	Zinc finger Y-chromosomal protein. [Source:Uniprot/SWISSPROT;Acc:P08048]
ENSG00000176679	Y	3507096	3508082	Homeobox protein TGIF2LY (TGFB-induced factor 2-like protein, Y- linked) (TGF(beta)induced transcription factor 2-like protein) (TGIF- like on the Y). [Source:Uniprot/SWISSPROT;Acc:Q8IUE0]
ENSG00000099715	Y	4928267	5665983	Protocadherin-11 Y-linked precursor (Protocadherin-11) (Protocadherin- 22) (Protocadherin on the Y chromosome) (PCDH-Y) (Protocadherin prostate cancer) (Protocadherin-PC). [Source:Uniprot/SWISSPROT;Acc:Q9BZA8]
ENSG00000173394	Y	5265788	5266981	NULL
ENSG00000168757	Y	6174264	6177054	testis specific protein, Y-linked 2 (TSPY2), mRNA [Source:RefSeq_dna;Acc:NM_022573]
ENSG00000186406	Y	6266809	6266934	RNA binding motif (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q13381]
ENSG00000129816	Y	6318472	6339605	testis-specific transcript, Y-linked 1 (TTTY1) on chromosome Y [Source:RefSeq_dna;Acc:NR_001538]
ENSG00000197285	Y	6334286	6352186	testis-specific transcript, Y-linked 2 (TTTY2) on chromosome Y [Source:RefSeq_dna;Acc:NR_001536]
ENSG00000206198	Y	6371475	6375118	testis-specific transcript, Y-linked 21 (TTTY21) on chromosome Y [Source:RefSeq_dna;Acc:NR_001535]
ENSG00000147753	Y	6377509	6385947	Transcript Y 7 protein (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q9BQ92]
ENSG00000185700	Y	6398816	6401671	Transcript Y 8 protein. [Source:Uniprot/SWISSPROT;Acc:Q9BQA6]
ENSG00000099721	Y	6793959	6802068	Amelogenin, Y isoform precursor. [Source:Uniprot/SWISSPROT;Acc:Q99218]
ENSG00000092377	Y	6838727	7019724	F-box-like/WD repeat protein TBL1Y (Transducin beta-like 1Y protein) (Transducin-beta-like 1, Y-linked). [Source:Uniprot/SWISSPROT;Acc:Q9BQ87]
ENSG00000099725	Y	7202013	7309589	Serine/threonine-protein kinase PRKY (EC 2.7.11.1). [Source:Uniprot/SWISSPROT;Acc:O43930]
ENSG00000196134	Y	7738068	7738340	Transcript Y 12 protein. [Source:Uniprot/SWISSPROT;Acc:Q9BZ98]
ENSG00000206189	Y	8611411	8611919	testis-specific transcript, Y-linked 18 (TTTY18) on chromosome Y [Source:RefSeq_dna;Acc:NR_001550]
ENSG00000206188	Y	8632513	8633324	testis-specific transcript, Y-linked 19 (TTTY19) on chromosome Y [Source:RefSeq_dna;Acc:NR_001549]
ENSG00000180910	Y	8712179	8717334	Transcript Y 11 protein. [Source:Uniprot/SWISSPROT;Acc:Q9BZ99]
ENSG00000173357	Y	8840007	8840138	RNA binding motif (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q13383]
ENSG00000198474	Y	9208769	9209731	NULL
ENSG00000197038	Y	9214670	9220483	RNA binding motif protein, Y-linked, family 1, member A3 pseudogene (RBMY1A3P) on chromosome Y [Source:RefSeq_dna;Acc:NR_001547]
ENSG00000206184	Y	9235073	9237887	similar to testis specific protein, Y-linked 1 (LOC653174), mRNA [Source:RefSeq_dna;Acc:XR_016233]
ENSG00000188656	Y	9255406	9278351	NULL
ENSG00000100151	22	36783208	36801646	PRKCA-binding protein (Protein kinase C-alpha-binding protein) (Protein interacting with C kinase 1). [Source:Uniprot/SWISSPROT;Acc:Q9NRD5]
ENSG00000185912	Y	9296030	9298826	Testis-specific Y-encoded protein 1. [Source:Uniprot/SWISSPROT;Acc:Q01534]
ENSG00000100395	22	39931259	39957220	Lethal(3)malignant brain tumor-like 2 protein (L(3)mbt-like 2 protein) (H-l(3)mbt-like protein). [Source:Uniprot/SWISSPROT;Acc:Q969R5]
ENSG00000187657	Y	9914583	9917170	NULL
ENSG00000174456	12	108963367	108988062	CDNA FLJ40142 fis, clone TESTI2012922. [Source:Uniprot/SPTREMBL;Acc:Q8N812]
ENSG00000205017	17	31647958	31649843	Small inducible cytokine A3-like 1 precursor (Tonsillar lymphocyte LD78 beta protein) (LD78-beta(1-70)) (G0/G1 switch regulatory protein 19-2) (G0S19-2 protein) (PAT 464.2) [Contains: LD78-beta(3-70); LD78- beta(5-70)]. [Source:Uniprot/SWISSPROT;Acc:P16619]
ENSG00000108352	17	35588133	35605426	Rap guanine nucleotide exchange factor (GEF)-like 1 [Source:RefSeq_peptide;Acc:NP_057423]
ENSG00000123064	12	112079369	112107667	ATP-dependent RNA helicase DDX54 (EC 3.6.1.-) (DEAD box protein 54) (ATP-dependent RNA helicase DP97). [Source:Uniprot/SWISSPROT;Acc:Q8TDD1]
ENSG00000161326	17	32924064	32947701	Dual specificity protein phosphatase 14 (EC 3.1.3.48) (EC 3.1.3.16) (Mitogen-activated protein kinase phosphatase 6) (MAP kinase phosphatase 6) (MKP-6) (MKP-1-like protein tyrosine phosphatase) (MKP- L). [Source:Uniprot/SWISSPROT;Acc:O95147]
ENSG00000100399	22	39961071	39966881	OTTHUMP00000028917. [Source:Uniprot/SPTREMBL;Acc:Q5JY13]
